latitude,longitude,floor_material,bike,car,pigs,celular,moto,telephone,tv,wash_after_poop,water_source,sex,age
-25.2837240565,32.7471688011,Cement,no,no,no,yes,no,no,no,Nothing,NA,female,23.2599623677297
-25.503439848,32.6509600643,Adobe,yes,no,no,yes,no,no,no,Nothing,NA,male,35.2297038194558
-25.0519352018,32.7609437567,Cement,no,no,no,yes,no,no,yes,NA,Piped water in the yard,female,20.4052108676098
-25.4771101742,32.7488581574,Cement,no,no,no,yes,no,no,no,"Only water, without soap",Piped water in the yard,male,34.0658346228706
-25.2008919056,32.8332721273,Cement,no,no,no,NA,no,yes,no,Nothing,Piped water in the yard,female,35.5881676003754
-25.4982196415,32.6470731904,Cement,no,no,no,yes,no,no,yes,Nothing,Piped water in the yard,male,24.855831892861
-25.3932764151,32.8143102826,Cement,no,no,no,NA,no,yes,no,Nothing,Piped water in the yard,female,19.7178617878767
-25.3372300246,32.7779823517,Cement,yes,no,no,NA,no,yes,yes,Nothing,Piped water in the yard,male,23.2410260552791
-25.0978723768,32.9100167648,Cement,no,no,no,yes,no,no,yes,Nothing,NA,male,32.6704764278667
-25.4973851016,32.651390775,Mosaic / Hardboard,no,no,no,yes,no,no,yes,NA,Piped water in the yard,female,45.5481133537341
-25.2886298477,32.7512915036,Cement,no,no,no,yes,no,yes,no,NA,Fontenary,male,44.2310250079385
-25.4393355405,32.6699724397,Cement,no,no,yes,yes,no,no,no,Nothing,NA,male,36.1636494577832
-25.3984613437,32.7881002795,Cement,yes,no,no,yes,no,no,no,"Only water, without soap",NA,male,40.741350529498
-25.5554413047,32.6753564593,Cement,yes,no,no,yes,no,no,no,Nothing,NA,female,45.462248693276
-25.4619474761,32.7572944877,Cement,no,no,no,yes,no,no,no,Nothing,Piped water in the yard,female,47.2387529199905
-25.2696000251,32.8663502855,Cement,yes,no,no,NA,no,yes,yes,Nothing,Piped water in the yard,male,26.3764443283396
-25.4007678012,32.8062819532,Cement,no,no,no,yes,no,no,yes,NA,Fontenary,male,30.4956083858102
-25.3797432375,32.8201323348,Cement,yes,no,no,yes,no,no,no,NA,Unprotected well,female,20.498647097701
-25.0834027192,32.8423723769,Without,no,no,no,yes,no,no,no,Nothing,NA,male,33.440564739094
-25.577875653,32.6749934755,Cement,no,no,yes,NA,no,yes,yes,"Only water, without soap",Piped water in the yard,female,26.5932907183505
-25.3910783333,32.8053866667,Cement,no,no,no,yes,no,no,no,Nothing,Piped water in the yard,male,19.4168235441426
-25.4178760021,32.794057693,Cement,no,yes,no,yes,no,no,yes,NA,Fontenary,male,63.8205617507073
-25.4024974201,32.8005838991,Cement,no,no,no,NA,no,yes,no,Nothing,Piped water in the yard,female,80.6017236299332
-25.4041359161,32.7956651764,Cement,yes,no,no,NA,no,yes,yes,"yes, with water and soap",Piped water in the yard,male,56.5953152245497
-25.3867148534,32.8202926029,Cement,yes,no,no,yes,no,no,yes,"yes, with water and soap",NA,female,19.2622262684702
-25.0494730552,32.7832977833,Cement,yes,yes,no,yes,no,no,no,NA,Protected well,female,36.528718733483
-25.052652543,32.7785346471,Cement,yes,no,no,yes,no,no,no,NA,Protected well,male,20.4310725130698
-25.4428830479,32.7820409841,Adobe,no,no,no,yes,no,no,no,NA,Unprotected well,male,20.0345648644767
-25.139398042,32.9449415106,Cement,no,no,no,yes,no,no,yes,Nothing,Piped water in the yard,male,59.9831400907443
-25.2554171918,32.8684158574,Cement,no,yes,no,NA,yes,yes,yes,"yes, with water and soap",Piped water in the yard,male,21.9357185615672
-25.2517019718,32.8640793209,Cement,no,no,no,yes,no,no,no,NA,Protected well,female,33.8900783498203
-25.4158541841,32.7982698167,Cement,no,no,no,yes,no,no,no,Nothing,Piped water in the yard,female,79.4669452613256
-25.4620423499,32.7602990627,Cement,no,no,no,yes,no,no,yes,"yes, with water and soap",Piped water in the house,male,20.8159393431947
-25.391845,32.8064933333,Cement,no,no,no,yes,no,no,yes,"Only water, without soap",Piped water in the yard,female,38.3865379868571
-25.4077741676,32.7308172701,Cement,no,no,no,yes,no,no,yes,"Only water, without soap",Piped water in the yard,male,43.9536895785362
-25.2793819662,32.736031637,Cement,no,no,yes,yes,no,yes,yes,Nothing,NA,female,30.3079194674766
-25.0253945105,32.8701510539,Cement,yes,no,no,yes,yes,no,no,Nothing,Piped water in the yard,female,44.5588816712589
-25.5151884713,32.6525472964,Without,no,no,no,yes,no,no,no,NA,Protected well,female,55.1797074244295
-25.398667925,32.8045267136,Without,no,no,no,yes,no,no,no,NA,Unprotected well,female,49.0751710135319
-25.3394120572,32.9502909333,Cement,no,no,no,yes,no,no,yes,NA,Piped water in the yard,male,22.0520642882008
-25.33572521,32.7177214213,Cement,no,no,no,NA,no,yes,yes,Nothing,Piped water in the yard,female,33.1695881523521
-25.4392071874,32.7814198324,Cement,yes,no,no,yes,no,no,yes,"Only water, without soap",NA,female,35.4272610644884
-25.1666940109,32.8003464535,Cement,yes,no,no,yes,no,no,yes,"Only water, without soap",Piped water in the yard,male,35.0931246576763
-25.5881123687,32.6968667569,Mosaic / Hardboard,no,no,no,NA,no,yes,yes,"yes, with water and soap",Piped water in the yard,female,27.6598110736718
-25.1823225144,32.8418614652,Cement,no,no,no,no,no,no,no,NA,Unprotected well,male,38.2175913713764
-25.2551450331,32.9886483635,Adobe,no,no,no,yes,no,no,no,NA,Unprotected well,male,40.480146472335
-25.2991325806,32.8381974211,Cement,yes,no,no,NA,no,yes,yes,Nothing,Piped water in the house,male,46.4573262074136
-25.1785240598,32.8512870097,Cement,yes,yes,no,yes,no,no,yes,"Only water, without soap",Piped water in the yard,male,21.2274207644799
-25.2955351447,32.8411784745,Cement,no,no,no,yes,no,no,no,"yes, with water and soap",Piped water in the house,male,24.3346024663801
-25.483910014,32.737713583,Cement,no,no,no,NA,no,yes,yes,Nothing,Piped water in the yard,female,71.6311870181613
-25.4416377208,32.717402354,Cement,no,no,no,yes,no,no,no,Nothing,NA,male,20.2471078253912
-25.3567316659,33.1048910035,Mosaic / Hardboard,no,no,no,NA,no,yes,yes,"yes, with water and soap",Piped water in the house,male,20.2943597948719
-25.288490171,32.8447102214,Cement,no,no,no,NA,no,yes,no,Nothing,Piped water in the yard,female,38.6028847482333
-25.2722500139,32.8594586748,Mosaic / Hardboard,no,yes,no,yes,no,no,yes,"Only water, without soap",Piped water in the yard,male,30.808175414524
-25.4140764931,32.7727766002,Cement,yes,yes,yes,yes,no,no,yes,NA,Piped water in the yard,male,25.512582780376
-25.3999345861,32.9155997325,Cement,no,no,yes,yes,no,no,no,NA,Fontenary,female,53.7597009483568
