data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3
5280277,454,MAW294,294,"22 July 2016",2016,1,Riots,"Violent demonstration","Rioters (Malawi)",,5,,,0,50,"Eastern Africa",Malawi,Southern,"Blantyre City","Blantyre City",Blantyre,-15.7833,35,1,"Nyasa Times (Malawi)",National,"Police arrested 14 students after violent protests against fee hikes at the Malawi Polytechnic in Blantyre.",0,1561469182,MWI
5280276,454,MAW293,293,"19 July 2016",2016,1,Riots,"Violent demonstration","Rioters (Malawi)","Students (Malawi)",5,,,0,50,"Eastern Africa",Malawi,Southern,Zomba,"Zomba City",Zomba,-15.3833,35.3333,1,"Nyasa Times (Malawi)",National,"Students at Chancellor College burnt tyres on the road, preventing visiting US Second Lady, Jill Bidens progress to Machinga. Police later arrested 11 students and the principal has shut down the university.",0,1561469182,MWI
4804284,454,MAW292,292,"18 July 2016",2016,1,Riots,"Violent demonstration","Police Forces of Malawi (2014-)",,1,"Rioters (Malawi)","Students (Malawi)",5,15,"Eastern Africa",Malawi,Southern,Zomba,"Zomba City",Zomba,-15.3833,35.3333,1,"Maravi Post",National,"Students at Chancellor College rioted against a proposed fee hike. The police responded with teargas, causing running battles between police and students.",0,1552577192,MWI
5280275,454,MAW291,291,"23 June 2016",2016,1,Protests,"Peaceful protest","Protesters (Malawi)","DPP: Democratic Progressive Party",6,,,0,60,"Eastern Africa",Malawi,Central,"Lilongwe City","Lilongwe City",Lilongwe,-13.9833,33.7833,1,"Nyasa Times (Malawi)",National,"DPP member led half-naked demonstrations against abductions and killings of albinos.",0,1561469182,MWI
5280272,454,MAW289,289,"13 June 2016",2016,1,Riots,"Violent demonstration","Police Forces of Malawi (2014-)",,1,"Rioters (Malawi)",,5,15,"Eastern Africa",Malawi,Southern,Chikwawa,"TA Lundu",Nchalo,-16.2635,34.8689,1,"Nyasa Times (Malawi)",National,"Police in Nchalo fired teargas to disperse crowd rioting over the distribution of maize. 2 people including an officer sustained serious injuries.",0,1561469182,MWI
5280274,454,MAW290,290,"13 June 2016",2016,1,Riots,"Violent demonstration","Police Forces of Malawi (2014-)",,1,"Rioters (Malawi)",,5,15,"Eastern Africa",Malawi,Southern,Nsanje,"Nsanje Boma",Nsanje,-16.9167,35.2667,1,"Nyasa Times (Malawi)",National,"Police in Nsanje fired teargas to disperse crowd rioting over the distribution of maize.",0,1561469182,MWI
5280271,454,MAW288,288,"12 June 2016",2016,1,"Violence against civilians",Attack,"Unidentified Armed Group (Malawi)",,3,"Civilians (Malawi)","Muslim Group (Malawi)",7,37,"Eastern Africa",Malawi,Northern,Rumphi,"Rumphi Boma",Rumphi,-11.0167,33.8667,1,"Nyasa Times (Malawi)",National,"Muslim chief, who had converted to Islam, attacked and seriously injured by unknown group.",0,1561469182,MWI
5280270,454,MAW287,287,"10 June 2016",2016,1,"Violence against civilians",Attack,"Unidentified Armed Group (Malawi)",,3,"Civilians (Malawi)","Christian Group (Malawi)",7,37,"Eastern Africa",Malawi,Central,"Lilongwe City","Lilongwe City",Lilongwe,-13.9833,33.7833,1,"Nyasa Times (Malawi)",National,"Armed group with machetes entered a church in Lilongwe and attacked civilians. Several injured and taken to hospital. Group reportedly targeting the pastor who was not present that day in church.",0,1561469182,MWI
5280269,454,MAW286,286,"18 May 2016",2016,2,Riots,"Mob violence","Rioters (Malawi)",,5,"Rioters (Malawi)",,5,55,"Eastern Africa",Malawi,Northern,Karonga,"Karonga Town",Karonga,-9.9333,33.9333,2,"Nyasa Times (Malawi)",National,"A number of properties are destroyed and people injured during a clash between three families over ownership of local land. A former MP of the area is implicated in funding the violence.",0,1561469182,MWI
5280268,454,MAW285,285,"17 May 2016",2016,1,Riots,"Mob violence","Rioters (Malawi)","Vigilante Group (Malawi)",5,"Civilians (Malawi)",,7,57,"Eastern Africa",Malawi,Southern,Chiradzulu,"Chiradzulu Boma",Chiradzulu,-15.6746,35.1407,2,"Nyasa Times (Malawi)",National,"A man who stabbed his in-law during a dispute over land is burnt to death by community members.",1,1561469182,MWI
